,Mean (%),Vol (%),t-stat
Country,12.835651636819428,16.089293722205753,4.196230735049233
Automobiles & Components,1.711903407202919,25.216381897891377,0.35708770898106973
Banks,-6.943507544949375,17.043089959401424,-2.1429349807431124
Capital Goods,1.1057001642721755,7.036338808261792,0.8265498470325338
Commercial & Professional Services,0.6934933737332736,7.3033048677584205,0.4994606804324612
Consumer Discretionary Distribution & Retail,2.45825721842096,9.896507604746823,1.3065432157624794
Consumer Durables & Apparel,-0.9568595318927342,11.905662289008479,-0.42273971177611314
Consumer Services,-0.48778229957924135,11.955250880552946,-0.21460792793559597
Consumer Staples Distribution & Retail,-0.3785603987176051,9.898013878608444,-0.20117107690003602
Energy,-1.8131021396142644,17.809937744729236,-0.535473875959998
Equity Real Estate Investment Trusts (REITs),-2.0160102546728007,10.436642123802532,-1.016038966561938
Financial Services,-0.5646289476605073,7.08563274977437,-0.4191436778237458
"Food, Beverage & Tobacco",-1.2880276749686397,7.536188750833156,-0.8989837595213613
Health Care Equipment & Services,-0.01224624943569626,8.454282464329285,-0.007619119163379095
Household & Personal Products,-4.49794217904973,10.53476223771793,-2.245781752601477
Insurance,-0.21899062033818806,8.548977334620963,-0.13473789775118794
Materials,0.2147071740904801,8.246181685925109,0.13695316569172386
Media,4.957015817207112e-14,2.0498430887379195e-13,1.2719736233524621
Media & Entertainment,0.3456849589965034,9.010943863288205,0.20178487875574616
"Pharmaceuticals, Biotechnology & Life Sciences",-0.1534473119045276,9.412115498659865,-0.08575322378778384
Real Estate Management & Development,-7.119260640794659,24.501525098986452,-1.528340754050446
Semiconductors & Semiconductor Equipment,4.111377428656027,14.057232867923009,1.5383881531914236
Software & Services,1.3582029895439052,9.008466315477715,0.7930347935118337
Technology Hardware & Equipment,1.9540791525131793,9.428179224652212,1.090166269662963
Telecommunication Services,-4.519699918090779,12.496039287429614,-1.9024604541994303
Transportation,-1.2310319343797875,12.503003122699605,-0.5178850787561914
Utilities,-0.9955415446097713,11.527839250843055,-0.45424472753423034
size,4.029942855317935,3.3228195734696744,6.379263577559085
beta,-2.991025039766362,8.224138123118408,-1.912969615535764
momentum,1.4246300604256539,5.705234127719226,1.3134303616623209
residvol,-2.2218535861180175,4.438226438835076,-2.6332033526799776
nlsize,1.5007445474864307,2.133133574530297,3.7005573710918704
btop,-3.5352372116231594,6.785021752574413,-2.740600511346961
liquidity,2.175549103139901,2.398818638058178,4.770346154912065
earnyild,4.308354260949096,7.273743206152384,3.115529450290119
growth,1.1557361950858078,2.9442084443454313,2.0647552520147996
leverage,-0.10175039799157606,1.97859038116289,-0.27049462646230454
