,Country,Automobiles & Components,Banks,Capital Goods,Commercial & Professional Services,Consumer Discretionary Distribution & Retail,Consumer Durables & Apparel,Consumer Services,Consumer Staples Distribution & Retail,Energy,Financial Services,"Food, Beverage & Tobacco",Health Care Equipment & Services,Household & Personal Products,Insurance,Materials,Media & Entertainment,"Pharmaceuticals, Biotechnology & Life Sciences",Real Estate Management & Development,Semiconductors & Semiconductor Equipment,Software & Services,Technology Hardware & Equipment,Telecommunication Services,Transportation,Utilities,size,beta,momentum,residvol,nlsize,btop,liquidity,earnyild,growth,leverage
Country,0.00029347291451625924,-7.871845990157659e-06,2.403694402383688e-05,-9.235174032277317e-06,3.27152343346251e-07,9.065323572477399e-07,-2.1721220932198596e-06,-1.2138415378362699e-05,2.6323880122664448e-05,-1.6096533221191454e-05,1.3678080401703914e-05,5.098012725140675e-06,5.040786589290309e-06,-1.376717963892609e-05,3.519774699518414e-05,-4.959600756300631e-07,2.0040273706687497e-05,1.5652767900092426e-05,-9.002349048384988e-06,-8.039524656296871e-06,-1.722835166037117e-05,-3.987796516864112e-06,5.1370441079910014e-05,9.635089242543217e-06,2.3627741823926223e-05,-4.1459936156695e-06,0.00011019604261389551,-1.2252780177841085e-07,-5.953082181492071e-06,3.9450507450434495e-06,-1.3977854478555753e-06,3.894110977863068e-06,-3.5986518534021887e-06,-8.066116247027111e-06,-8.064819644682739e-07
Automobiles & Components,-7.871845990157654e-06,5.379274529353342e-05,6.069278943925825e-06,1.6298596714558826e-05,7.852916581795547e-06,1.863279303356237e-05,2.423845366151341e-05,1.592733416348701e-05,7.02281563752163e-06,1.0638129225402447e-05,1.3856284813138683e-05,1.15285158230513e-05,1.700445365785907e-05,1.493022429751892e-05,3.850023750162282e-07,2.0892269157249595e-05,1.5485597326511087e-05,2.8884765695118218e-05,2.361514879905013e-05,-1.0160595517711144e-05,1.463706437307244e-05,5.209871257378365e-06,-4.7140721433400166e-06,1.844940689723919e-05,-1.5426265002934578e-06,1.3332379388285737e-06,-5.029290322269902e-06,-5.12131704273432e-07,-4.501200091131494e-06,-2.805213639111457e-06,1.333114335084855e-06,8.483384029355934e-08,1.4966765885087585e-06,-4.015067035879937e-07,3.635245961173991e-07
Banks,2.4036944023836887e-05,6.069278943925825e-06,6.358840968095493e-05,2.234225294282077e-06,6.680974509818939e-06,1.3906203857191394e-05,4.3881211699086e-06,1.0213457325928922e-05,3.1013171132187945e-05,-7.3894714615113875e-06,2.9255781335610564e-05,2.1108359662103626e-05,1.1112486184332968e-05,4.8107313161540084e-06,3.6424784029137906e-05,2.58268783203218e-06,1.4374896585230094e-05,2.0019699609103078e-05,1.137859779496793e-05,-1.4399359512588958e-05,-3.684034582774269e-07,-5.277418447384331e-06,4.144273809629958e-05,1.4033356179615666e-05,8.577631227538973e-06,-5.277543089913767e-06,1.983047760583684e-05,2.5363799110427985e-06,2.690381091062511e-06,1.5672307756823854e-06,-1.7813897551321554e-06,1.086022300768391e-06,7.721734794199175e-07,-5.502844525288851e-06,2.546189702367817e-07
Capital Goods,-9.235174032277313e-06,1.6298596714558823e-05,2.234225294282077e-06,3.9200491515379766e-05,1.8705898388419028e-05,1.3965431609861767e-05,1.641804048980971e-05,1.6377291663715453e-05,8.515884142677003e-06,2.0335459506135627e-05,7.518630897343659e-06,1.675495972361691e-05,1.687184153003869e-05,1.5727291197540683e-05,2.7210761257377426e-06,1.5935223041208328e-05,1.557106961628091e-05,1.53949455891553e-05,1.8668685648895958e-05,-1.1490797688392741e-05,1.3130253217590154e-05,6.769451118966381e-06,2.6870960482669917e-06,2.299996088905034e-05,2.476414327627313e-05,3.2357979727407806e-06,-3.9247639789768014e-06,-5.144409317240914e-07,-2.651802030422816e-06,-9.305230460758372e-07,-1.5813940517500641e-06,-2.859522859412051e-07,-1.3305706972141622e-06,1.7755712321065117e-06,2.49091428496278e-07
Commercial & Professional Services,3.2715234334624954e-07,7.852916581795547e-06,6.680974509818939e-06,1.8705898388419028e-05,9.868684551716772e-05,1.2143423155595588e-05,1.3715037910162768e-05,1.1643050388971618e-05,8.265569407753864e-06,2.8271768585811007e-05,1.1412909281565227e-05,1.2122787468855286e-05,1.4928549068496063e-05,1.6591306803075286e-05,2.5325175291015104e-06,1.670601034902525e-05,1.8991432236217214e-05,2.2332252192426118e-05,8.230818660897605e-06,-1.009212928185318e-05,9.26964030732228e-06,4.319596644026933e-06,1.1478521516820844e-05,1.2281234935778078e-05,1.0440965608191847e-06,4.524808351120366e-06,1.970610676271445e-06,-3.1017714070513694e-06,-3.423507252182617e-06,6.969157835280656e-07,2.798364094026525e-07,-1.2591981284260306e-07,-1.4564159799037835e-06,-5.237299088584442e-07,1.8698801376450714e-06
Consumer Discretionary Distribution & Retail,9.065323572477388e-07,1.863279303356237e-05,1.3906203857191394e-05,1.3965431609861767e-05,1.2143423155595588e-05,5.5683366363905313e-05,1.842521235271372e-05,2.538857159427621e-05,2.5485611748494215e-05,5.6560722771737365e-05,1.3869353041210026e-05,1.9931520753829188e-05,2.1957183963967964e-05,2.8222271599856787e-05,-1.933828363575507e-06,2.4680640509636656e-05,1.9471432894662635e-05,1.93176495374192e-05,1.8895242476432024e-05,-1.027645442538463e-05,1.2455485928491267e-05,2.990981809281842e-06,1.2393866764475934e-05,1.8428026187180632e-05,1.3947047436127035e-06,5.3803279658644e-06,2.519869988014034e-06,1.9801966694715807e-06,-2.39262691622326e-07,1.136291149802837e-06,4.526941248059219e-06,-2.6760297266467634e-06,5.119230025934565e-07,7.536749027908729e-08,5.457296028086096e-07
Consumer Durables & Apparel,-2.172122093219856e-06,2.4238453661513413e-05,4.388121169908599e-06,1.641804048980971e-05,1.3715037910162766e-05,1.842521235271372e-05,4.5028074210895705e-05,1.5705664655856817e-05,8.121966477574106e-06,1.7727474452628303e-05,1.0680624743716259e-05,1.1461283537440055e-05,2.2366367555079582e-05,1.7431402046331987e-05,1.9442335933041993e-06,1.8011401016557567e-05,1.8613779816872358e-05,3.4291966635713036e-05,2.1219030855733717e-05,-1.0987331827476822e-05,1.6892088350692204e-05,5.9324697620336685e-06,-1.8399422480677945e-06,2.218854239488419e-05,3.5199860416532295e-06,3.4734873157974503e-06,-2.6513328547916305e-06,-1.9265229699282764e-06,-3.2357982280034025e-06,1.231411702852271e-07,5.276802683498163e-07,-1.3607241616880305e-06,1.4444673544667654e-06,1.880628581273923e-06,6.530618096074031e-07
Consumer Services,-1.2138415378362695e-05,1.592733416348701e-05,1.0213457325928922e-05,1.6377291663715453e-05,1.1643050388971618e-05,2.538857159427621e-05,1.5705664655856817e-05,6.278104134835566e-05,1.880542196971675e-05,3.8953374165694716e-05,1.146148595048485e-05,2.2761942723206317e-05,1.8316566592975823e-05,2.6397645591471102e-05,-7.666726206179481e-06,2.0922390574636588e-05,2.481898553812838e-05,2.607406594785789e-05,2.362320706377915e-05,-7.75091505734059e-06,1.1242334017558575e-05,4.1833045128625384e-07,2.398311671806832e-06,2.2669419970584424e-05,1.5903103621833993e-05,7.059480826511366e-06,-4.513719060945843e-06,2.4901023622445587e-06,-2.773233412771821e-06,-1.487095511764503e-06,3.311268268662164e-06,-2.421274693243783e-06,1.1770900019599996e-06,6.626682009182867e-08,1.0783828550562272e-06
Consumer Staples Distribution & Retail,2.6323880122664437e-05,7.022815637521628e-06,3.1013171132187945e-05,8.515884142677003e-06,8.265569407753866e-06,2.5485611748494212e-05,8.121966477574106e-06,1.880542196971675e-05,0.00010705178626798028,3.0874905907136154e-05,2.01887153188619e-05,3.654875504460839e-05,1.3913564391448152e-05,1.530519397894265e-05,1.7801278346147744e-05,1.860298991109709e-05,2.0526915105427944e-05,2.8216692724071602e-05,4.203037746248588e-06,-1.6185747612425053e-05,4.895531612354142e-06,6.56008849510396e-06,4.5308006401122424e-05,1.8607599842105006e-05,1.165016041840682e-05,-6.032921929394789e-07,2.3667198476756523e-05,2.1318804888321546e-06,5.951622249723551e-06,2.8405207374160083e-06,2.1921845610869265e-06,-6.595875346820238e-06,-1.836166355956942e-06,-9.437785211473677e-07,1.8189491676942814e-06
Energy,-1.6096533221191464e-05,1.0638129225402447e-05,-7.38947146151138e-06,2.033545950613563e-05,2.827176858581101e-05,5.6560722771737365e-05,1.7727474452628306e-05,3.895337416569472e-05,3.0874905907136154e-05,0.0005585031891234362,2.675889277746586e-05,1.6278091074795843e-05,3.551588912535079e-05,5.24735612843907e-05,-3.877404559882634e-05,8.400575603010344e-05,4.337473201928205e-05,2.356561250900318e-05,4.374582687198942e-06,-2.0017785352573062e-05,2.095666100665317e-05,1.4507119989460913e-05,1.9226160240842776e-05,9.300177732272475e-06,4.705557469673884e-05,1.3330700805074604e-05,-7.672371057117675e-06,8.639512201380703e-07,-4.070589492967869e-07,3.335790893605234e-06,2.0524626511542504e-05,4.6559900464676453e-07,-7.081694499188473e-06,-5.296659967048007e-06,2.1880527377046e-06
