,Mean (%),Vol (%),t-stat
Country,27.778503077757104,24.434750971526174,1.6077403792969034
Automobiles & Components,-21.1937873991406,9.530855496191043,-3.1447902646194787
Banks,10.447499829486532,10.411496478060766,1.41910396674335
Capital Goods,-0.14485522200854173,7.751075404642474,-0.026429393193923467
Commercial & Professional Services,-5.2194205569970205,12.91821693748927,-0.5713927374925115
Consumer Discretionary Distribution & Retail,-20.009293587575176,9.714451033143499,-2.912919553406515
Consumer Durables & Apparel,-18.438357494152406,8.704468935985801,-2.9956767526979275
Consumer Services,-13.780302316958776,10.991652117982383,-1.7730082994858958
Consumer Staples Distribution & Retail,1.8330897587977422,14.205984551216336,0.18248509201124183
Energy,-13.828363135740563,32.79154016513949,-0.5963812188600582
Financial Services,-6.221431933506523,11.653548914672403,-0.7550003421419825
"Food, Beverage & Tobacco",-1.8898657329191275,10.074517418736464,-0.2652904987377156
Health Care Equipment & Services,-19.01203667771275,11.923083862649426,-2.2550441167476216
Household & Personal Products,-13.897147207245967,10.812079772083433,-1.817738536255314
Insurance,-2.2234673692064595,12.909571587441725,-0.24357568240953023
Materials,-3.999058641437953,9.52154355468095,-0.5939712332320877
Media & Entertainment,-0.8043352862441788,15.138418212955953,-0.07514007437898974
"Pharmaceuticals, Biotechnology & Life Sciences",-1.823586522220269,18.305462614617625,-0.14088367205892438
Real Estate Management & Development,-3.8799568102096726,17.3395438913859,-0.31644935857547546
Semiconductors & Semiconductor Equipment,-0.055802420666120796,5.231045575539733,-0.015086188598372933
Software & Services,-17.933168822368927,13.926219646214161,-1.8211209652875866
Technology Hardware & Equipment,2.631560863649076,6.3482692911375525,0.5862367982370048
Telecommunication Services,20.520142242840507,14.808135675692288,1.959724309474455
Transportation,-11.886998487539211,17.056955087000976,-0.9855659694969716
Utilities,-7.3919432651187735,17.07481664721957,-0.6122341828792465
size,-3.930823627329125,3.23957115683096,-1.7159752991823298
beta,11.772911800194944,9.86035516800094,1.6885204693730516
momentum,5.542900037813128,4.09483519839823,1.914324759985451
residvol,-5.394508955700783,3.964588759790001,-1.9242822370054002
nlsize,-4.173864423962394,2.447274077383006,-2.4119634700606474
btop,-1.6192235403785873,2.914040262534576,-0.7858257556556347
liquidity,-4.552102627309913,3.9600514580067103,-1.625646873815186
earnyild,12.021454141865654,2.2194029676147378,7.6601246979245206
growth,-1.8552533269110514,2.930204125780348,-0.8954067034004621
leverage,-0.7128952347818092,1.7589429990987389,-0.5731772491184586
