,Country,Communication Services,Consumer Discretionary,Consumer Staples,Energy,Financials,Health Care,Industrials,Information Technology,Materials,Real Estate,Utilities,size,beta,momentum,residvol,nlsize,btop,liquidity,earnyild,growth,leverage
Country,0.00010545904975718613,-3.202785518394379e-06,4.596483529876888e-06,1.3372583949882229e-05,-2.3320595175485353e-05,-3.5570721824537817e-06,6.0234964361062774e-06,-1.3155922508555458e-06,-7.558318802272341e-06,-3.5539871515446725e-06,9.815694310169935e-06,1.696409847553478e-05,-1.2448288239226753e-05,4.734169771755147e-05,2.174740046881449e-06,3.9886448571913645e-07,-5.649994134675054e-06,-1.6555121769560528e-06,3.8074265544095556e-07,7.111359403333223e-06,-9.040805762521511e-07,4.391896123913014e-07
Communication Services,-3.202785518394378e-06,3.596193722665845e-05,9.463791801441049e-07,-5.670812469780172e-06,-2.7209467443820803e-06,3.457611435663832e-06,-1.9155917189170625e-07,3.819705403823197e-06,9.474820537987566e-06,-1.4964346156152036e-05,2.0266871711289444e-06,-4.5608908536609373e-08,2.665308377134482e-06,-9.97663017129844e-07,-1.6689216803662724e-06,-5.753489992333706e-07,1.0518236839425934e-06,1.5695003564058825e-06,-5.351091870699595e-07,-2.972291377811797e-06,1.0405782912481848e-06,-3.895085977913815e-08
Consumer Discretionary,4.596483529876888e-06,9.463791801441044e-07,3.1779930258578585e-05,-3.650519209196292e-06,-3.3758070923154425e-05,-2.5130308131028486e-06,-1.2729615742551874e-05,2.78824920566951e-06,1.0321783953429875e-06,-9.661044216189196e-06,6.331074398334621e-06,-4.891938580255811e-06,8.788836684843261e-06,-3.4483557180079753e-07,-3.1880628366557745e-06,-1.854096122191443e-06,5.151950766903467e-06,-2.4444900024650385e-06,2.4140870914101973e-07,-4.721355884452718e-06,1.8893715409255618e-06,-2.8838778946585653e-06
Consumer Staples,1.3372583949882229e-05,-5.670812469780172e-06,-3.6505192091962903e-06,5.56609640423147e-05,-1.5918212198721535e-05,-9.476701183188068e-06,1.6059863157746863e-05,-1.3819198435699964e-05,-2.119070993792641e-05,-1.7088487675414184e-05,1.4297804972762369e-07,1.7018060822397725e-05,-1.2628122396976968e-05,9.458298713640942e-06,-1.256023765943711e-06,-4.86033514744463e-07,-6.005355669708239e-06,1.7271013663304083e-06,-9.037858283719433e-07,7.333218935693836e-06,-7.161790788632456e-07,2.797668527590706e-06
Energy,-2.332059517548536e-05,-2.7209467443820807e-06,-3.3758070923154425e-05,-1.5918212198721535e-05,0.00017338517132359747,-2.969824976615148e-06,-1.7794508480559507e-05,-1.8821057047262386e-05,-8.932076083811648e-06,-1.556864102243367e-06,-7.760613767915493e-06,-2.0575236286442676e-06,-6.258227404760255e-06,-1.5720754414372686e-05,5.945158088358361e-06,7.587071990232465e-07,-6.609346573290685e-06,7.773305961192927e-06,-4.178776518954983e-06,-5.603046309406077e-07,-5.259164491522524e-06,2.7934975732688013e-06
Financials,-3.557072182453782e-06,3.4576114356638322e-06,-2.5130308131028478e-06,-9.476701183188068e-06,-2.9698249766151483e-06,1.8542428061216122e-05,-1.3015169258245493e-05,5.202111764132576e-06,8.976116351775958e-06,-1.0121114372014204e-05,-8.52730047407086e-07,-1.0326092504414997e-05,7.055566441664155e-07,1.5329707146759654e-06,-1.991948018306508e-06,2.1258246833947634e-06,-3.83299333635432e-07,-2.634249125008038e-06,1.0655144054358747e-06,1.5954707396363965e-06,2.202835614350271e-06,9.539202834753412e-07
Health Care,6.0234964361062774e-06,-1.915591718917056e-07,-1.2729615742551874e-05,1.6059863157746866e-05,-1.7794508480559503e-05,-1.3015169258245496e-05,7.77096993005556e-05,-6.540438934373847e-06,-7.989737380035498e-06,-1.9408265492488438e-05,8.798975177084976e-07,1.1627046544665207e-05,-7.840845905234014e-06,3.742752185502504e-06,1.2400182503470416e-06,-9.985604223146857e-07,-4.122888376940074e-06,3.686222839255377e-06,-5.447255991469294e-07,3.4268764303967464e-06,-1.6989661759364245e-06,4.0843355776747835e-06
Industrials,-1.3155922508555458e-06,3.819705403823196e-06,2.7882492056695113e-06,-1.3819198435699964e-05,-1.8821057047262386e-05,5.202111764132576e-06,-6.540438934373846e-06,2.805247424415827e-05,1.7475329109204527e-05,-7.687955682575666e-06,-4.054952856699364e-06,-1.3335137070449661e-05,4.230250444759548e-06,6.024834201832781e-07,-9.654490470066353e-07,1.8664606547685747e-06,3.437378476330134e-06,-8.69242215229631e-07,1.1533588300397923e-06,-2.2021315194454065e-06,1.73842084868273e-06,-1.1336403689927854e-06
Information Technology,-7.558318802272342e-06,9.474820537987568e-06,1.0321783953429888e-06,-2.1190709937926408e-05,-8.932076083811648e-06,8.97611635177596e-06,-7.989737380035498e-06,1.7475329109204527e-05,5.33734850455665e-05,-5.964203419150948e-06,-7.197493330241011e-06,-2.6117421314059223e-05,7.508462410877089e-06,-7.690735586808635e-07,-2.22307086042476e-06,-4.0459145390801035e-07,4.8963839552877224e-06,4.4978763339964147e-07,-1.2713226283210312e-07,-4.931975799764419e-06,2.4943305573729712e-06,-1.6471631375305896e-06
Materials,-3.5539871515446725e-06,-1.4964346156152038e-05,-9.661044216189196e-06,-1.7088487675414184e-05,-1.5568641022433677e-06,-1.0121114372014204e-05,-1.9408265492488438e-05,-7.687955682575666e-06,-5.964203419150948e-06,8.024494931431913e-05,-1.6617249812065325e-05,-1.5258984502810132e-05,-1.3439193546763248e-06,-2.980984096770887e-06,4.039946072180412e-06,1.509312989032458e-06,1.8193255953304766e-06,-4.70949539165943e-06,4.875600768407891e-07,2.4142146105621795e-06,-1.6437510373390406e-06,-5.078621980411887e-07
Real Estate,9.815694310169938e-06,2.0266871711289453e-06,6.331074398334622e-06,1.429780497276203e-07,-7.760613767915491e-06,-8.52730047407086e-07,8.798975177084982e-07,-4.054952856699363e-06,-7.197493330241008e-06,-1.6617249812065325e-05,7.054022626903394e-05,3.64253280279475e-05,-4.229381203064395e-06,3.7998628256201234e-06,2.056972880189836e-06,2.1365338849858323e-06,-1.1399639159351584e-06,-2.5968145447777575e-07,1.8695929239241493e-06,5.655498296765285e-07,-2.052740371794407e-06,-1.658923628072196e-06
Utilities,1.6964098475534787e-05,-4.560890853660974e-08,-4.891938580255813e-06,1.7018060822397725e-05,-2.057523628644267e-06,-1.0326092504414997e-05,1.1627046544665207e-05,-1.3335137070449663e-05,-2.6117421314059223e-05,-1.5258984502810132e-05,3.64253280279475e-05,0.00011710873458534656,-1.8303647423089617e-05,6.8725990250359144e-06,6.882041806135375e-06,2.750452488548006e-06,-8.259365692823395e-06,3.145739897820491e-06,2.060207724236643e-06,6.577808216730405e-06,-5.652763639407021e-06,8.550584440200726e-07
size,-1.244828823922675e-05,2.6653083771344833e-06,8.788836684843261e-06,-1.2628122396976968e-05,-6.258227404760256e-06,7.055566441664155e-07,-7.840845905234015e-06,4.230250444759549e-06,7.50846241087709e-06,-1.3439193546763248e-06,-4.229381203064398e-06,-1.8303647423089617e-05,3.290309305088442e-05,-1.6903880411591037e-05,-3.9287081592718085e-06,-8.617613519030532e-06,1.3480060157911516e-05,1.6702652631438213e-07,6.510479546949303e-07,-1.3946966771550127e-05,9.135022540072369e-07,-7.106283294951659e-06
beta,4.734169771755148e-05,-9.976630171298442e-07,-3.44835571800798e-07,9.458298713640942e-06,-1.5720754414372686e-05,1.5329707146759652e-06,3.7427521855025036e-06,6.024834201832775e-07,-7.690735586808639e-07,-2.980984096770886e-06,3.799862825620123e-06,6.8725990250359144e-06,-1.6903880411591037e-05,3.58125373403347e-05,-1.1600191516699005e-07,3.804816803619225e-08,-7.124776256521236e-06,-3.6248697115940663e-06,-5.753867695337933e-07,5.872291055834702e-06,4.1054541372069493e-07,2.133719207790212e-06
momentum,2.174740046881449e-06,-1.6689216803662724e-06,-3.1880628366557753e-06,-1.256023765943711e-06,5.945158088358362e-06,-1.991948018306508e-06,1.2400182503470418e-06,-9.65449047006635e-07,-2.2230708604247596e-06,4.039946072180412e-06,2.0569728801898364e-06,6.882041806135376e-06,-3.9287081592718085e-06,-1.1600191516698997e-07,1.3170299045456124e-05,8.516016756839001e-07,-2.249023061108933e-06,3.0892974422225e-07,-2.7956008627385735e-08,6.391226167477136e-07,-1.5597674487247383e-06,1.771275137186901e-07
residvol,3.9886448571913645e-07,-5.753489992333707e-07,-1.8540961221914429e-06,-4.860335147444622e-07,7.587071990232466e-07,2.1258246833947626e-06,-9.985604223146861e-07,1.866460654768574e-06,-4.0459145390801014e-07,1.509312989032458e-06,2.1365338849858323e-06,2.7504524885480064e-06,-8.617613519030534e-06,3.8048168036192426e-08,8.516016756839001e-07,9.626326389196846e-06,-1.3307599292596345e-06,-1.5883509155583879e-06,4.134683144088044e-07,6.475093261582779e-06,-9.1641319742283e-07,2.931937367739396e-06
nlsize,-5.649994134675054e-06,1.051823683942593e-06,5.1519507669034685e-06,-6.00535566970824e-06,-6.609346573290688e-06,-3.8329933363543195e-07,-4.122888376940074e-06,3.4373784763301342e-06,4.896383955287723e-06,1.819325595330477e-06,-1.1399639159351588e-06,-8.259365692823396e-06,1.3480060157911518e-05,-7.124776256521236e-06,-2.2490230611089328e-06,-1.3307599292596345e-06,9.891750512834752e-06,-3.6700969540866286e-07,4.891742472061192e-07,-5.040299430120277e-06,3.1347368472754946e-07,-2.277542926214582e-06
btop,-1.6555121769560533e-06,1.569500356405883e-06,-2.4444900024650385e-06,1.727101366330409e-06,7.773305961192928e-06,-2.634249125008038e-06,3.6862228392553757e-06,-8.692422152296303e-07,4.4978763339964083e-07,-4.709495391659431e-06,-2.5968145447777554e-07,3.1457398978204916e-06,1.6702652631438227e-07,-3.6248697115940663e-06,3.0892974422224993e-07,-1.5883509155583879e-06,-3.6700969540866296e-07,2.0356935297984894e-05,-3.5830919049344435e-07,-7.549335551601426e-06,-4.681175165598383e-07,-1.1836952777773921e-06
liquidity,3.8074265544095567e-07,-5.351091870699597e-07,2.414087091410198e-07,-9.037858283719433e-07,-4.178776518954983e-06,1.0655144054358747e-06,-5.447255991469293e-07,1.1533588300397921e-06,-1.271322628321031e-07,4.875600768407891e-07,1.8695929239241493e-06,2.0602077242366435e-06,6.510479546949304e-07,-5.753867695337933e-07,-2.7956008627385722e-08,4.134683144088044e-07,4.89174247206119e-07,-3.5830919049344435e-07,2.9120232308322014e-06,-1.829189882994414e-07,8.632916008692324e-08,-7.841954811575029e-07
earnyild,7.111359403333223e-06,-2.972291377811797e-06,-4.721355884452719e-06,7.333218935693835e-06,-5.603046309406072e-07,1.5954707396363965e-06,3.426876430396745e-06,-2.2021315194454065e-06,-4.931975799764417e-06,2.4142146105621795e-06,5.655498296765284e-07,6.577808216730404e-06,-1.3946966771550127e-05,5.872291055834702e-06,6.391226167477139e-07,6.475093261582779e-06,-5.040299430120277e-06,-7.549335551601426e-06,-1.8291898829944148e-07,1.6775322771586624e-05,-8.140021455230385e-07,4.83904515447331e-06
growth,-9.040805762521511e-07,1.0405782912481848e-06,1.889371540925562e-06,-7.16179078863246e-07,-5.259164491522525e-06,2.202835614350271e-06,-1.6989661759364243e-06,1.7384208486827303e-06,2.494330557372971e-06,-1.6437510373390404e-06,-2.0527403717944075e-06,-5.652763639407021e-06,9.135022540072369e-07,4.1054541372069477e-07,-1.5597674487247383e-06,-9.164131974228303e-07,3.1347368472754956e-07,-4.681175165598384e-07,8.632916008692328e-08,-8.140021455230384e-07,2.7985638727294957e-06,-1.802009972595447e-08
