,Mean (%),Vol (%),t-stat
Country,14.821841577522541,13.482284237179718,1.5547253721645744
Communication Services,1.969079410709028,8.681045699631417,0.32077919001538757
Consumer Discretionary,-22.541325577200293,7.432100228679593,-4.289265128870278
Consumer Staples,0.5282915597816782,8.675563810479971,0.08611741035527604
Energy,8.913486919575284,16.479136558578407,0.7649414181919968
Financials,10.052826578981016,5.966113681455269,2.382932080622351
Health Care,6.066311672871541,11.664980563609365,0.7354543108387854
Industrials,-1.7029385647920596,6.2477299339053385,-0.38547101742467765
Information Technology,-8.325497350938448,8.788069078379303,-1.339774546852993
Materials,15.399133889008532,11.67253666702652,1.865718190987074
Real Estate,-5.824892384838092,11.436577137570453,-0.7202890961964663
Utilities,8.949059045034781,16.618402242611896,0.761558210422562
size,-6.728210072810728,3.775843621260324,-2.5200000026188016
beta,1.3028602722667328,8.268834970422576,0.22282736002198328
momentum,11.52019911521627,4.658536712680139,3.497240192533395
residvol,3.633010396828165,3.868666195926265,1.3280682062585418
nlsize,-4.175766731096699,3.11645565051753,-1.894917369814854
btop,3.4336524466652154,5.381031581813522,0.9024139302510765
liquidity,1.4756985628527244,2.6150687243319455,0.7980489775059156
earnyild,5.244470297107619,5.5711599733969575,1.331284877305387
growth,0.12179807566308799,2.348245529188371,0.07335199336383623
leverage,3.6167882581135307,2.9911873522248427,1.7099935258322922
