ticker,shares,date,price,position_value,weight
COPX,148407,2025-12-19,70.30000305175781,10433012.552902222,0.2343793163253078
EWY,105628,2025-12-19,91.339996337890625,9648061.133178711,0.21674525558106014
POWL,6011,2025-12-19,332.8999938964844,2001061.8633117676,0.044954178773339216
FSLR,6994,2025-12-19,266.9800109863281,1867258.196838379,0.041948257740384215
AEIS,8188,2025-12-19,216.08999633789063,1769344.8900146484,0.03974861944836355
ALB,12199,2025-12-19,145.8800048828125,1779590.1795654297,0.0399787815370499
VIAV,88976,2025-12-19,18.020000457763672,1603347.5607299805,0.03601946256752143
SQM,24071,2025-12-19,68.76000213623047,1655122.0114212036,0.037182583985673236
CAT,2596,2025-12-19,576.219970703125,1495867.0439453125,0.033604895354595606
NVT,15037,2025-12-19,101.54000091552734,1526856.9937667847,0.03430108959526023
PAM,16407,2025-12-19,89.6500015258789,1470887.5750350952,0.03304372754082571
DQ,40352,2025-12-19,32.970001220703125,1330405.4892578125,0.029887774736832056
CENX,40693,2025-12-19,36.209999084472656,1473493.4927444458,0.03310226990411921
CEPU,78889,2025-12-19,17.549999237060547,1384501.8898124695,0.03110305913463847
NPKI,97366,2025-12-19,12.239999771118164,1191759.8177146912,0.02677307727596296
FLNC,54438,2025-12-19,19.959999084472656,1086582.4301605225,0.024410250234125408
FIX,1038,2025-12-19,940.739990234375,976488.10986328125,0.021936963502059814
NXT,10675,2025-12-19,88.69999694824219,946872.4674224854,0.02127164329923138
SEI,19414,2025-12-19,44.959999084472656,872853.4222259521,0.019608793463649656
