ticker,shares,date,price,position_value,weight
TOI,2093838,2025-12-19,3.5,7328433,0.240340402235993
CVRX,430487,2025-12-19,8.029999732971191,3456810.4950475693,0.1133681954700732
ALHC,125193,2025-12-19,20.420000076293945,2556441.069551468,0.08384003441780964
GMED,23940,2025-12-19,87.05999755859375,2084216.3415527344,0.06835313823236346
PEN,6391,2025-12-19,315.8999938964844,2018916.8609924316,0.06621160218725468
AORT,40699,2025-12-19,46.54999923706055,1894538.4189491272,0.062132535790635664
ATEC,89576,2025-12-19,20.010000228881836,1792415.7805023193,0.058783361962928334
SIBN,86908,2025-12-19,20.3799991607666,1771184.9670639038,0.05808708456753069
ASTH,63476,2025-12-19,23.8700008392334,1515172.1732711792,0.04969098981743831
FTRE,90902,2025-12-19,17.739999771118164,1612601.4591941833,0.052886242304334266
PGNY,49773,2025-12-19,26.6299991607666,1325454.948228836,0.043469098428409694
STE,5207,2025-12-19,254.33999633789063,1324348.3609313965,0.0434328072272517
TKNO,207928,2025-12-19,4.650000095367432,966865.2198295593,0.031708930932687535
XGN,131336,2025-12-19,6.429999828338623,844490.4574546814,0.02769557642528981
