ticker,shares,date,price,position_value,weight
EQT,29057,2025-12-19,53.869998931884766,1565300.5589637756,0.056793816585690514
CECO,25049,2025-12-19,58.709999084472656,1470626.7670669556,0.05335876640208915
D,25652,2025-12-19,59.43000030517578,1524498.3678283691,0.05531339025710566
THR,36909,2025-12-19,38.61000061035156,1425056.5125274658,0.051705340379043244
CRK,62475,2025-12-19,21.549999237060547,1346336.2023353577,0.0488491305393311
BKR,28160,2025-12-19,44.709999084472656,1259033.57421875,0.04568152836841914
LBRT,64612,2025-12-19,17.479999542236328,1129417.7304229736,0.04097867534956502
EE,43074,2025-12-19,26.739999771118164,1151798.7501411438,0.04179072612255902
PBA,27560,2025-12-19,36.869998931884766,1016137.1705627441,0.0368685156089429
MG,85677,2025-12-19,12.800000190734863,1096665.6163415909,0.03979033005109847
ECG,10774,2025-12-19,89.029998779296875,959209.2068481445,0.034802997704864364
EXE,8248,2025-12-19,108.73999786376953,896887.5023803711,0.03254177864851045
ET,54910,2025-12-19,16.389999389648438,899974.8664855957,0.032653797512696786
DTM,7016,2025-12-19,118.0199966430664,828028.2964477539,0.030043359357992672
WMB,13127,2025-12-19,58.2599983215332,764778.9979667664,0.027748484398335847
TPL,900,2025-12-19,898.8599853515625,808973.98681640625,0.029352011641943745
EVRG,10138,2025-12-19,72.470001220703125,734700.8723754883,0.026657159452279946
PUMP,71991,2025-12-19,9.109999656677246,655837.9852838516,0.023795776493427963
NRG,4528,2025-12-19,156.1999969482422,707273.5861816406,0.025662014939862587
FE,16080,2025-12-19,44.22999954223633,711218.3926391602,0.025805144393903495
DTE,5441,2025-12-19,127.63999938964844,694489.2366790771,0.025198160252877355
EXC,16067,2025-12-19,43.65999984741211,701485.2175483704,0.025451995500077845
KGS,18712,2025-12-19,36.310001373291016,679432.7456970215,0.024651865432779
AEP,6052,2025-12-19,114.48999786376953,692893.4670715332,0.025140260927482706
TRGP,3707,2025-12-19,178.92999267578125,663293.4828491211,0.02406628438972443
ENB,13920,2025-12-19,46.630001068115234,649089.6148681641,0.023550925298910674
AES,47439,2025-12-19,13.529999732971191,641849.6573324203,0.023288237843764412
PWR,1490,2025-12-19,426.6600036621094,635723.405456543,0.02306595898274704
XEL,8668,2025-12-19,72.66999816894531,629903.544128418,0.022854796893184832
ETR,6789,2025-12-19,91.5,621193.5,0.022538770270789633
