ticker;shares;costdate
EQT;29057;2024-12-18
CECO;25049;2025-10-15
D;25652;2025-10-15
THR;36909;2025-11-05
CRK;62475;2024-12-18
BKR;28160;2025-10-15
LBRT;64612;2025-10-16
EE;43074;2025-10-15
PBA;27560;2025-10-15
MG;85677;2025-11-11
ECG;10774;2025-03-27
EXE;8248;2025-10-15
ET;54910;2025-10-15
DTM;7016;2025-10-15
WMB;13127;2025-10-15
TPL;900;2025-11-05
EVRG;10138;2025-10-15
PUMP;71991;2025-10-16
NRG;4528;2025-10-15
FE;16080;2025-11-16
DTE;5441;2025-11-16
EXC;16067;2025-11-16
KGS;18712;2024-12-18
AEP;6052;2025-11-16
TRGP;3707;2025-11-05
ENB;13920;2025-10-15
AES;47439;2025-11-16
PWR;1490;2025-10-15
XEL;8668;2025-10-15
ETR;6789;2025-10-15
